;Kingdom;Phylum;Class;Order;Family;Genus
ASV_5883;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Lysobacter
ASV_5884;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;NA;NA
ASV_5885;Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Bdellovibrionaceae;Bdellovibrio
ASV_5886;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia
ASV_5887;Bacteria;Bacteroidota;Bacteroidia;NA;NA;NA
ASV_5888;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Methylovulum
ASV_5889;Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae;NA
ASV_5890;Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylomonadaceae;Crenothrix
ASV_5891;Bacteria;Proteobacteria;Gammaproteobacteria;BD72BR169;NA;NA
ASV_5892;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Altererythrobacter
ASV_5893;Bacteria;Verrucomicrobiota;Verrucomicrobiae;Verrucomicrobiales;Rubritaleaceae;Luteolibacter
ASV_5894;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;TRA3-20;NA
ASV_5895;Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;NA;NA
ASV_5896;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade;NA
ASV_5897;Bacteria;Proteobacteria;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Pseudoxanthomonas
ASV_5898;Bacteria;NA;NA;NA;NA;NA
ASV_5899;Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Rubinisphaeraceae;NA
ASV_5900;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Nitrosomonadaceae;Ellin6067
ASV_5901;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Beijerinckiaceae;alphaI cluster
ASV_5902;Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
ASV_5903;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
ASV_5904;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter
